F1,F2,F3,F4,F5,F6,F7,F8,F9
,Gia tri do duoc,Loc lan 1(50%),Loc lan 2(40%),Loc lan 3(30%),Loc lan 4(20%),Loc lan 5(10%),Loc lan 6(5%),Gia tri trung binh
,,,,,,,,
,0.004417896,0.004417896,0.004417896,0.004417896,0.004417896,0.004417896,0.004417896,
,0.004419088,0.004419088,0.004419088,0.004419088,0.004419088,0.004419088,0.004419088,
,0.004397154,0.004397154,0.004397154,0.004397154,0.004397154,0.004397154,0.004397154,
,0.004392862,0.004392862,0.004392862,0.004392862,0.004392862,0.004392862,0.004392862,
,0.004477978,0.004477978,0.004477978,0.004477978,0.004477978,0.004477978,0.004477978,
,,,,,,,,
Trung binh,0.004420996,0.004420996,0.004420996,0.004420996,0.004420996,0.004420996,0.004420996,0.004420996
,,,,,,,,
,,,,,,,,
,0.004377127,0.004377127,0.004377127,0.004377127,0.004377127,0.004377127,0.004377127,
,0.004401922,0.004401922,0.004401922,0.004401922,0.004401922,0.004401922,0.004401922,
,0.004337072,0.004337072,0.004337072,0.004337072,0.004337072,0.004337072,0.004337072,
,0.004049063,0.004049063,0.004049063,0.004049063,0.004049063,0.004049063,0.004369974,
,0.004369974,0.004369974,0.004369974,0.004369974,0.004369974,0.004369974,,
,,,,,,,,
Trung binh,0.004307032,0.004307032,0.004307032,0.004307032,0.004307032,0.004307032,0.004371524,0.004307032
,,,,,,,,
,,,,,,,,
,0.004317999,0.004317999,0.004317999,0.004317999,0.004317999,0.004317999,0.004317999,
,0.004404068,0.004404068,0.004404068,0.004404068,0.004404068,0.004404068,0.004404068,
,0.004328012,0.004328012,0.004328012,0.004328012,0.004328012,0.004328012,0.004328012,
,0.004337072,0.004337072,0.004337072,0.004337072,0.004337072,0.004337072,0.004337072,
,0.004413128,0.004413128,0.004413128,0.004413128,0.004413128,0.004413128,0.004413128,
,,,,,,,,
Trung binh,0.004360056,0.004360056,0.004360056,0.004360056,0.004360056,0.004360056,0.004360056,0.004360056
